blog_url	blog_name	blog_topic	blog_departments	department_names
https://environmentagency.blog.gov.uk	Creating a better place	News and updates from the Environment Agency	https://www.gov.uk/api/organisations/environment-agency	environment-agency
https://crossbordergrowth.blog.gov.uk	Cross-border growth	News and updates on cross-border growth	https://www.gov.uk/api/organisations/office-of-the-secretary-of-state-for-wales	office-of-the-secretary-of-state-for-wales
https://design102.blog.gov.uk	DESIGN102	News and updates from Design 102, the GCS Design Centre	https://www.gov.uk/api/organisations/civil-service-government-communication-service	civil-service-government-communication-service
https://dfidnews.blog.gov.uk	DFID in the news	News and updates from the Department for International Development	https://www.gov.uk/api/organisations/department-for-international-development	department-for-international-development
https://dvladigital.blog.gov.uk	DVLA digital services	We will use this blog to keep you up to speed on all things digital at DVLA. We’ll keep you updated on our progress and will let you know how our new services will meet the GDS digital by default service standard.	https://www.gov.uk/api/organisations/driver-and-vehicle-licensing-agency	driver-and-vehicle-licensing-agency
https://dvsadigital.blog.gov.uk	DVSA digital	How the Driver and Vehicle Standards Agency (DVSA) is designing digital services and content to meet the needs of users, and to help you stay safe on Great Britain’s roads.	https://www.gov.uk/api/organisations/driver-and-vehicle-standards-agency	driver-and-vehicle-standards-agency
https://dwpdigital.blog.gov.uk	DWP Digital	News and updates from DWP Digital	https://www.gov.uk/api/organisations/department-for-work-pensions	department-for-work-pensions
https://dataingovernment.blog.gov.uk	Data in government 	A blog about how we're using performance analysis and data science in government	https://www.gov.uk/api/organisations/civil-service	civil-service
https://nda.blog.gov.uk	Dealing with our nuclear past, protecting the future	Real-life views of those decommissioning the UK’s earliest nuclear sites safely, securely and cost-effectively in a way that protects people and the environment.	https://www.gov.uk/api/organisations/nuclear-decommissioning-authority	nuclear-decommissioning-authority
https://nda.blog.gov.uk	Dealing with our nuclear past, protecting the future	Real-life views of those decommissioning the UK’s earliest nuclear sites safely, securely and cost-effectively in a way that protects people and the environment.	https://www.gov.uk/api/organisations/radioactive-waste-management	radioactive-waste-management
https://nda.blog.gov.uk	Dealing with our nuclear past, protecting the future	Real-life views of those decommissioning the UK’s earliest nuclear sites safely, securely and cost-effectively in a way that protects people and the environment.	https://www.gov.uk/api/organisations/sellafield-ltd	sellafield-ltd
https://defencescience.blog.gov.uk	Defence Science	Programmes, projects and people delivering science and technology to the Ministry of Defence	https://www.gov.uk/api/organisations/ministry-of-defence	ministry-of-defence
https://defencescience.blog.gov.uk	Defence Science	Programmes, projects and people delivering science and technology to the Ministry of Defence	https://www.gov.uk/api/organisations/defence-science-and-technology-laboratory	defence-science-and-technology-laboratory
https://defencescience.blog.gov.uk	Defence Science	Programmes, projects and people delivering science and technology to the Ministry of Defence	https://www.gov.uk/api/organisations/centre-for-defence-enterprise	centre-for-defence-enterprise
https://modmedia.blog.gov.uk	Defence in the media	Media updates from the Ministry of Defence news team	https://www.gov.uk/api/organisations/ministry-of-defence	ministry-of-defence
https://defradigital.blog.gov.uk	Defra digital	News and updates from Defra's Data, Digital and UnITy teams	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs	department-for-environment-food-rural-affairs
https://defradigital.blog.gov.uk	Defra digital	News and updates from Defra's Data, Digital and UnITy teams	https://www.gov.uk/api/organisations/environment-agency	environment-agency
https://defradigital.blog.gov.uk	Defra digital	News and updates from Defra's Data, Digital and UnITy teams	https://www.gov.uk/api/organisations/joint-nature-conservation-committee	joint-nature-conservation-committee
https://defradigital.blog.gov.uk	Defra digital	News and updates from Defra's Data, Digital and UnITy teams	https://www.gov.uk/api/organisations/natural-england	natural-england
https://defradigital.blog.gov.uk	Defra digital	News and updates from Defra's Data, Digital and UnITy teams	https://www.gov.uk/api/organisations/animal-and-plant-health-agency	animal-and-plant-health-agency
https://deframedia.blog.gov.uk	Defra in the media	Updates from Defra	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs	department-for-environment-food-rural-affairs
https://dftdigital.blog.gov.uk	Department for Transport digital	News and updates from the Department for Transport digital team	https://www.gov.uk/api/organisations/department-for-transport	department-for-transport
https://healthmedia.blog.gov.uk	Department of Health and Social Care Media Centre	News and updates from the Department of Health and Social Care media team	https://www.gov.uk/api/organisations/department-of-health-and-social-care	department-of-health-and-social-care
https://designnotes.blog.gov.uk	Design notes	We believe in working in the open. This blog is for designers across government to share their projects, ideas and concepts, or just to think out loud.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://despatch.blog.gov.uk	Despatch for driver and rider trainers	Official advice and information for driver and rider trainers from the Driver and Vehicle Standards Agency (DVSA).	https://www.gov.uk/api/organisations/driver-and-vehicle-standards-agency	driver-and-vehicle-standards-agency
https://dfedigital.blog.gov.uk	DfE Digital	News and updates from the Department for Education digital team	https://www.gov.uk/api/organisations/department-for-education	department-for-education
https://digitalmarketplace.blog.gov.uk	Digital Marketplace	Transforming the way we buy digital in the public sector.	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://digitalmarketplace.blog.gov.uk	Digital Marketplace	Transforming the way we buy digital in the public sector.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://digitalskillspartnership.blog.gov.uk	Digital Skills Partnership	News and updates from the Digital Skills Partnership	https://www.gov.uk/api/organisations/department-for-digital-culture-media-sport	department-for-digital-culture-media-sport
https://digitalinclusion.blog.gov.uk	Digital Skills and Inclusion	Digital skills are vital for both individuals and the economy. Digital inclusion is about having the right access, skills, motivation and trust to confidently go online. We use this blog to tell you about what government and its partners are doing to achieve this.	https://www.gov.uk/api/organisations/department-for-culture-media-sport	department-for-culture-media-sport
https://digitalhealth.blog.gov.uk	Digital health and social care	Blogs about digital in the health and care system by the Digital team at the Department of Health.	https://www.gov.uk/api/organisations/department-of-health-and-social-care	department-of-health-and-social-care
https://digitalpeople.blog.gov.uk	Digital people	Find out about digital, data and technology people and skills activity across government	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://digitaltrade.blog.gov.uk	Digital trade	News and updates about digital transformation at the Department for International Trade	https://www.gov.uk/api/organisations/department-for-international-trade	department-for-international-trade
https://dragonsden.blog.gov.uk	Dragons' Den: the Intellectual Property blog	An Intellectual Property Office blog covering all the IP issues spotted during each episode of Dragons' Den.	https://www.gov.uk/api/organisations/intellectual-property-office	intellectual-property-office
https://sfadigital.blog.gov.uk	ESFA Digital	How the Education & Skills Funding Agency is transforming services through digital	https://www.gov.uk/api/organisations/education-and-skills-funding-agency	education-and-skills-funding-agency
https://dfemedia.blog.gov.uk	Education in the media	News updates from the Department for Education and the Government Equalities Office	https://www.gov.uk/api/organisations/department-for-education	department-for-education
https://dfemedia.blog.gov.uk	Education in the media	News updates from the Department for Education and the Government Equalities Office	https://www.gov.uk/api/organisations/government-equalities-office	government-equalities-office
https://foresightprojects.blog.gov.uk	Foresight projects	News and updates from the Government Office for Science	https://www.gov.uk/api/organisations/government-office-for-science	government-office-for-science
https://identityassurance.blog.gov.uk	GOV.UK Verify	A blog about the development of GOV.UK Verify, the new way to prove your identity when using digital government services.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://gds.blog.gov.uk	Government Digital Service	GDS is leading the digital transformation of the UK government.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://gds.blog.gov.uk	Government Digital Service	GDS is leading the digital transformation of the UK government.	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://equalities.blog.gov.uk	Government Equalities Office	News and updates from the Government Equalities Office. We are responsible for equality strategy and legislation across government.	https://www.gov.uk/api/organisations/government-equalities-office	government-equalities-office
https://governmentscienceandengineering.blog.gov.uk	Government Science and Engineering	The official blog of the Government Science and Engineering profession.	https://www.gov.uk/api/organisations/civil-service-government-science-engineering	civil-service-government-science-engineering
https://vets.blog.gov.uk	Government Vets	The blog of vets working in UK government	https://www.gov.uk/api/organisations/civil-service-government-veterinary-surgeons	civil-service-government-veterinary-surgeons
https://governmentasaplatform.blog.gov.uk	Government as a Platform	Updates and news on the Government as a Platform work	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://securityprofession.blog.gov.uk	Government security	This blog will bring you updates about what’s happening in the Security Profession across Government.	https://www.gov.uk/api/organisations/civil-service	civil-service
https://hmlandregistry.blog.gov.uk	HM Land Registry	News and updates from HM Land Registry	https://www.gov.uk/api/organisations/land-registry	land-registry
https://hmrcdigital.blog.gov.uk	HMRC digital	News and updates on HMRC digital projects and exemplars	https://www.gov.uk/api/organisations/hm-revenue-customs	hm-revenue-customs
https://taxagents.blog.gov.uk	HMRC working with tax agents	Guidance for tax agents, direct from HMRC - find out what's changing, and get the latest advice	https://www.gov.uk/api/organisations/hm-revenue-customs	hm-revenue-customs
https://history.blog.gov.uk	History of government	Articles from guest historians and civil servants about the history of UK government.	https://www.gov.uk/api/organisations/the-national-archives	the-national-archives
https://history.blog.gov.uk	History of government	Articles from guest historians and civil servants about the history of UK government.	https://www.gov.uk/api/organisations/prime-ministers-office-10-downing-street	-downing-street
https://hodigital.blog.gov.uk	Home Office Digital, Data and Technology	An insight into the day-to-day activities of the Home Office Digital, Data and Technology team	https://www.gov.uk/api/organisations/home-office	home-office
https://homeofficemedia.blog.gov.uk	Home Office in the media	News and updates from Home Office Media	https://www.gov.uk/api/organisations/home-office	home-office
https://importexportlicensing.blog.gov.uk	Import and export licensing	News and updates on import and export licenses	https://www.gov.uk/api/organisations/department-for-international-trade	department-for-international-trade
https://ipa.blog.gov.uk	Infrastructure and Projects Authority	News, expertise and insights from the IPA	https://www.gov.uk/api/organisations/infrastructure-and-projects-authority	infrastructure-and-projects-authority
https://innovateuk.blog.gov.uk	Innovate UK	News and updates from Innovate UK	https://www.gov.uk/api/organisations/innovate-uk	innovate-uk
https://insideDIO.blog.gov.uk	Inside DIO	News and updates from the Defence Infrastructure Organisation	https://www.gov.uk/api/organisations/ministry-of-defence	ministry-of-defence
https://insideDIO.blog.gov.uk	Inside DIO	News and updates from the Defence Infrastructure Organisation	https://www.gov.uk/api/organisations/defence-infrastructure-organisation	defence-infrastructure-organisation
https://insidedvla.blog.gov.uk	Inside DVLA	Regular updates for DVLA's stakeholders, commercial customers and suppliers.	https://www.gov.uk/api/organisations/driver-and-vehicle-licensing-agency	driver-and-vehicle-licensing-agency
https://insidegovuk.blog.gov.uk	Inside GOV.UK	Product updates and news from the Government Digital Service's GOV.UK team.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://insidehmcts.blog.gov.uk	Inside HMCTS	News and updates from the HM Courts & Tribunals Service	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service	hm-courts-and-tribunals-service
https://insidehmcts.blog.gov.uk	Inside HMCTS	News and updates from the HM Courts & Tribunals Service	https://www.gov.uk/api/organisations/ministry-of-justice	ministry-of-justice
https://healthcareuk.blog.gov.uk	Inside Healthcare UK	We help UK healthcare providers to do more business overseas. We do this by promoting the UK healthcare sector to overseas markets and supporting healthcare partnerships between the UK and overseas healthcare providers.	https://www.gov.uk/api/organisations/healthcare-uk	healthcare-uk
https://apprenticeships.blog.gov.uk	Institute for Apprenticeships	News and updates from the Institute for Apprenticeships	https://www.gov.uk/api/organisations/institute-for-apprenticeships	institute-for-apprenticeships
https://ipo.blog.gov.uk	Intellectual Property Office blog	Updates and information from the Intellectual Property Office	https://www.gov.uk/api/organisations/intellectual-property-office	intellectual-property-office
https://librariestaskforce.blog.gov.uk	Libraries Taskforce	Update and news from the Libraries Taskforce	https://www.gov.uk/api/organisations/department-for-culture-media-sport	department-for-culture-media-sport
https://lynromeo.blog.gov.uk	Lyn Romeo	Insights, updates, and personal reflections from Lyn Romeo, Chief Social Worker for Adults at the Department of Health and Social Care	https://www.gov.uk/api/organisations/department-of-health	department-of-health
https://mhrainspectorate.blog.gov.uk	MHRA Inspectorate	News and updates from the MHRA Inspectorate	https://www.gov.uk/api/organisations/medicines-and-healthcare-products-regulatory-agency	medicines-and-healthcare-products-regulatory-agency
https://mojdigital.blog.gov.uk	MOJ Digital & Technology	How the Ministry of Justice is transforming the justice system using digital services and technology: news, updates and comment.	https://www.gov.uk/api/organisations/ministry-of-justice	ministry-of-justice
https://marinescience.blog.gov.uk	Marine Science	Insight and updates on the latest research and developments in marine and freshwater science from across government	https://www.gov.uk/api/organisations/centre-for-environment-fisheries-and-aquaculture-science	centre-for-environment-fisheries-and-aquaculture-science
https://marinedevelopments.blog.gov.uk	Marine developments	Marine developments: news and updates about marine planning and licensing	https://www.gov.uk/api/organisations/marine-management-organisation	marine-management-organisation
https://mattersoftesting.blog.gov.uk	Matters of Testing	Official advice and information about MOT testing from the Driver and Vehicle Standards Agency (DVSA).	https://www.gov.uk/api/organisations/driver-and-vehicle-standards-agency	driver-and-vehicle-standards-agency
https://medregs.blog.gov.uk	MedRegs	News and updates from Medicines and Healthcare products Regulatory Agency	https://www.gov.uk/api/organisations/medicines-and-healthcare-products-regulatory-agency	medicines-and-healthcare-products-regulatory-agency
https://movingon.blog.gov.uk	Moving On	Official advice and information for lorry, bus, coach and van operators and drivers, from the Driver and Vehicle Standards Agency (DVSA).	https://www.gov.uk/api/organisations/driver-and-vehicle-standards-agency	driver-and-vehicle-standards-agency
https://movingon.blog.gov.uk	Moving On	Official advice and information for lorry, bus, coach and van operators and drivers, from the Driver and Vehicle Standards Agency (DVSA).	https://www.gov.uk/api/organisations/traffic-commissioners	traffic-commissioners
https://nctl.blog.gov.uk	National College for Teaching and Leadership (NCTL)	News and updates from the National College for Teaching and Leadership	https://www.gov.uk/api/organisations/national-college-for-teaching-and-leadership	national-college-for-teaching-and-leadership
https://minimumwage.blog.gov.uk	National Minimum Wage	The Low Pay Commission (LPC) is an independent body that advises the government about the National Minimum Wage	https://www.gov.uk/api/organisations/low-pay-commission	low-pay-commission
https://naturalengland.blog.gov.uk	Natural England	News and updates from Natural England	https://www.gov.uk/api/organisations/natural-england	natural-england
https://publicguardian.blog.gov.uk	Office of the Public Guardian	News and updates from the Office of the Public Guardian	https://www.gov.uk/api/organisations/office-of-the-public-guardian	office-of-the-public-guardian
https://socialcareinspection.blog.gov.uk	Ofsted: developments in children’s social care	News and updates in social care inspection	https://www.gov.uk/api/organisations/ofsted	ofsted
https://educationinspection.blog.gov.uk	Ofsted: developments in education inspection	News and updates on education inspection	https://www.gov.uk/api/organisations/ofsted	ofsted
https://openinnovation.blog.gov.uk	Open Innovation Team	News and updates on the Open Innovation Team	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://phescreening.blog.gov.uk	PHE screening	News and updates from the Public Health England screening programmes	https://www.gov.uk/api/organisations/public-health-england	public-health-england
https://openpolicy.blog.gov.uk	Policy Lab	Bringing new policy tools and techniques to the UK Government	https://www.gov.uk/api/organisations/civil-service	civil-service
https://publichealthmatters.blog.gov.uk	Public health matters	The official blog of Public Health England, providing insight and commentary on all aspects of public health, including health protection, health improvement, wellbeing, data and knowledge	https://www.gov.uk/api/organisations/public-health-england	public-health-england
https://ruralpayments.blog.gov.uk	Rural payments	News and updates from the team.	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs	department-for-environment-food-rural-affairs
https://ruralpayments.blog.gov.uk	Rural payments	News and updates from the team.	https://www.gov.uk/api/organisations/rural-payments-agency	rural-payments-agency
https://ruralpayments.blog.gov.uk	Rural payments	News and updates from the team.	https://www.gov.uk/api/organisations/natural-england	natural-england
https://ruralpayments.blog.gov.uk	Rural payments	News and updates from the team.	https://www.gov.uk/api/organisations/rural-development-programme-for-england-network	rural-development-programme-for-england-network
https://ssac.blog.gov.uk	Social Security Advisory Committee	News and updates from the Social Security Advisory Committee	https://www.gov.uk/api/organisations/social-security-advisory-committee	social-security-advisory-committee
https://socialcare.blog.gov.uk	Social care	This blog from the Department of Health and Social Care shares news, views and information updates for anyone working in - or receiving support from - the care and support sector.	https://www.gov.uk/api/organisations/department-of-health	department-of-health
https://videosurveillance.blog.gov.uk	Surveillance Camera Commissioner	News and updates on video surveillance	https://www.gov.uk/api/organisations/surveillance-camera-commissioner	surveillance-camera-commissioner
https://teaching.blog.gov.uk	Teaching	News and updates on teaching from DfE	https://www.gov.uk/api/organisations/department-for-education	department-for-education
https://gdstechnology.blog.gov.uk	Technology at GDS	About the technology behind GDS digital products.	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://ofqual.blog.gov.uk	The Ofqual blog	News and updates from Ofqual, the Office of Qualifications and Examinations Regulation	https://www.gov.uk/api/organisations/ofqual	ofqual
https://queensawards.blog.gov.uk	The Queen’s Awards for Enterprise	News and updates about The Queen's Awards for Enterprise	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy	department-for-business-energy-and-industrial-strategy
https://transformingtogether.blog.gov.uk	Transforming Together	We're a group of leaders across the Civil Service working to transform government together so that it works better for citizens and businesses.	https://www.gov.uk/api/organisations/civil-service	civil-service
https://troubledfamilies.blog.gov.uk	Troubled Families Programme	News and updates from the Troubled Families Programme	https://www.gov.uk/api/organisations/department-for-communities-and-local-government	department-for-communities-and-local-government
https://ukces.blog.gov.uk	UK Commission for Employment and Skills	News and updates from the UK Commission for Employment and Skills	https://www.gov.uk/api/organisations/uk-commission-for-employment-and-skills	uk-commission-for-employment-and-skills
https://ukces.blog.gov.uk	UK Commission for Employment and Skills	News and updates from the UK Commission for Employment and Skills	https://www.gov.uk/api/organisations/department-for-business-innovation-skills	department-for-business-innovation-skills
https://ukexportfinance.blog.gov.uk	UK Export Finance	News and updates from UK Export Finance	https://www.gov.uk/api/organisations/uk-export-finance	uk-export-finance
https://space.blog.gov.uk	UK Space Agency blog	The UK Space Agency is responsible for all strategic decisions on the UK civil space programme and provides a clear, single voice for UK space ambitions.	https://www.gov.uk/api/organisations/uk-space-agency	uk-space-agency
https://userresearch.blog.gov.uk	User research	User research news and case studies from GDS and across government	https://www.gov.uk/api/organisations/government-digital-service	government-digital-service
https://userresearch.blog.gov.uk	User research	User research news and case studies from GDS and across government	https://www.gov.uk/api/organisations/cabinet-office	cabinet-office
https://veteranstoday.blog.gov.uk	Veterans Today	News, updates and information for veterans	https://www.gov.uk/api/organisations/ministry-of-defence	ministry-of-defence
https://vivbennett.blog.gov.uk	Viv Bennett	Updates and comment from Viv Bennett, Director of Nursing at Department of Health.	https://www.gov.uk/api/organisations/public-health-england	public-health-england
https://prisonjobs.blog.gov.uk	Working in the Prison Service	Official advice and guidance for applicants to prison officer roles, run by the Ministry of Justice.	https://www.gov.uk/api/organisations/ministry-of-justice	ministry-of-justice
https://annadixon.blog.gov.uk	Anna Dixon	NA		
https://assisteddigital.blog.gov.uk	Assisted digital	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://betterlocalservices.blog.gov.uk	Better local services	NA		
https://bobkerslake.blog.gov.uk	Bob Kerslake	NA	https://www.gov.uk/government/organisations/civil-service	Civil Service
https://buildingskills.blog.gov.uk	Building skills: civil service capability	NA	https://www.gov.uk/government/organisations/cabinet-office	Cabinet Office
https://cabinetofficetechnology.blog.gov.uk	Cabinet Office technology	NA	https://www.gov.uk/government/organisations/cabinet-office	Cabinet Office
https://cesgdigital.blog.gov.uk	CESG Digital	NA	https://www.gov.uk/government/organisations/cesg	CESG
https://civilserviceleaders.blog.gov.uk	Civil Service	NA	https://www.gov.uk/government/organisations/civil-service	Civil Service
https://capreform.blog.gov.uk	Rural payments	NA	https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs	Department for Environment, Food & Rural Affairs
https://capreform.blog.gov.uk	Rural payments	NA	https://www.gov.uk/government/organisations/rural-payments-agency	Rural Payments Agency
https://capreform.blog.gov.uk	Rural payments	NA	https://www.gov.uk/government/organisations/natural-england	Natural England
https://capreform.blog.gov.uk	Rural payments	NA	https://www.gov.uk/government/organisations/rural-development-programme-for-england-network	Rural Development Programme for England Network
https://gdsdata.blog.gov.uk	Data in government 	NA	https://www.gov.uk/government/organisations/civil-service	Civil Service
https://data.blog.gov.uk	Data	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://definedambition.blog.gov.uk	Defined Ambition Pensions consultation [archived]	NA	https://www.gov.uk/government/organisations/department-for-work-pensions	Department for Work and Pensions
https://dwptechnology.blog.gov.uk	DWP Digital	NA	https://www.gov.uk/government/organisations/department-for-work-pensions	Department for Work and Pensions
https://beismedia.blog.gov.uk	Business, Energy and Industrial Strategy in the media	NA	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy
https://deccmedia.blog.gov.uk	Business, Energy and Industrial Strategy in the media	NA	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy
https://bisdigital.blog.gov.uk	BEIS Digital	NA	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy
https://dfid.blog.gov.uk	DFID bloggers	NA	https://www.gov.uk/government/organisations/department-for-international-development	Department for International Development
https://decc.blog.gov.uk	Department of Energy and Climate Change blog	NA	https://www.gov.uk/government/organisations/department-of-energy-climate-change	Department of Energy & Climate Change
https://digitaldwp.blog.gov.uk	DWP Digital	NA	https://www.gov.uk/government/organisations/department-for-work-pensions	Department for Work and Pensions
https://digitalengagement.blog.gov.uk	Digital Skills and Inclusion	NA		
https://digitaltransformation.blog.gov.uk	Digital transformation	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://employmentlaw.blog.gov.uk	Employment law	NA	https://www.gov.uk/government/organisations/department-for-business-innovation-skills	Department for Business, Innovation & Skills
https://Environmentagency.blog.gov.uk	Creating a better place	NA	https://www.gov.uk/government/organisations/environment-agency	Environment Agency
https://singlemarket.blog.gov.uk	EU Single Market for Goods and Services	NA	https://www.gov.uk/government/organisations/department-for-business-innovation-skills	Department for Business, Innovation & Skills
https://futureofageing.blog.gov.uk	Future of ageing	NA	https://www.gov.uk/government/organisations/government-office-for-science	Government Office for Science
https://futureofageing.blog.gov.uk	Future of ageing	NA	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy
https://futureofcities.blog.gov.uk	Future of cities	NA	https://www.gov.uk/government/organisations/government-office-for-science	Government Office for Science
https://futureofcities.blog.gov.uk	Future of cities	NA	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy
https://transition.blog.gov.uk	Inside GOV.UK	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://gdsengagement.blog.gov.uk	GDS Digital Engagement	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://gdssocialmedia.blog.gov.uk	GDS Digital Engagement	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://governmenttechnology.blog.gov.uk	Government technology	NA	https://www.gov.uk/government/organisations/government-digital-service	Government Digital Service
https://homesandcommunities.blog.gov.uk	Homes and communities	NA	https://www.gov.uk/government/organisations/homes-and-communities-agency	Homes and Communities Agency
https://insidedio.blog.gov.uk	Inside DIO	NA	https://www.gov.uk/government/organisations/ministry-of-defence	Ministry of Defence
https://insidedio.blog.gov.uk	Inside DIO	NA	https://www.gov.uk/government/organisations/defence-infrastructure-organisation	Defence Infrastructure Organisation
https://jonrouse.blog.gov.uk	Jon Rouse	NA		
https://lovesealife.blog.gov.uk	Love Sea Life	NA	https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs	Department for Environment, Food & Rural Affairs
https://maryagnew.blog.gov.uk	Mary Agnew	NA		
https://nhschoiceandcompetition.blog.gov.uk	NHS choice and competition	NA	https://www.gov.uk/government/organisations/monitor	Monitor
https://nhscostrecovery.blog.gov.uk	NHS cost recovery from visitors and migrants	NA		
https://nursesmidwivesahp.blog.gov.uk	Nurses, midwives and allied health professionals	NA		
https://pensionslatest.blog.gov.uk	Pensions Latest	NA	https://www.gov.uk/government/organisations/department-for-work-pensions	Department for Work and Pensions
https://scotlandoffice.blog.gov.uk	Scotland Office	NA		
https://smcpcommission.blog.gov.uk	Social Mobility and Child Poverty Commission	NA	https://www.gov.uk/government/organisations/social-mobility-and-child-poverty-commission	Social Mobility and Child Poverty Commission
